store,selection,accessibility,cleanliness,price,sales_discounts,customer_service,locations_hours
Food Bazaar,5,4,4,5,5,4,454 Wyckoff Ave. (7 a.m.-10:30 p.m.); 1590 Gates Ave. (7 a.m.-10:30 p.m.)
Mr. Fruit Stores,5,4,4,4,4,5,Mr. Kiwi's: 957 Broadway (24 hours); Mr. Lemon: 410 Knickerbocker Ave. (24 hours)
Key Food,4,5,5,4,4,5,72-82 Wyckoff Ave. (7 a.m.-10 p.m.); 1533 Broadway (8 a.m.-8 p.m.)
Food Story Natural Market,5,5,5,3,3,5,1552 Myrtle Ave. (24 hours); 40 Bogart St. (24 hours)
Shop Fair,4,4,5,5,4,4,920 Seneca Ave. (7 a.m.-9 p.m.)
City Fresh Market,5,5,4,4,4,5,229 Knickerbocker Ave. (24 hours)
Hana Natural,3,5,5,2,2,5,24 Wyckoff Ave. (24 hours)
Met Fresh,3,4,4,5,5,4,1381 Myrtle Ave. (7 a.m.-11 p.m.)
Billy's Marketplace (C Town),5,4,4,4,5,3,870 Cypress Ave. (7 a.m.-10 p.m.)
Associated Supermarkets,4,4,3,4,5,4,333 Seneca Ave. (7 a.m.-9 p.m.)
